OGS	sub_rate	Avg_record	align_len	No_seq	recovery	meanGC
EOG722W04	0.285185185185	524.4	810	40	medium	40.1223794496273
EOG722W0D	0.350912778905	210.219512195	493	41	high	36.3640190874989
EOG725R6H	0.255630630631	625.448275862	888	29	medium	40.5657251156101
EOG725R7S	0.207943925234	172.981132075	428	53	high	42.0848667239878
EOG728MFC	0.243032329989	640.725490196	897	51	high	40.0144043271782
EOG72CGP2	0.151101783841	842.773584906	953	53	high	44.7794881493547
EOG72CGP9	0.245398773006	435.12244898	652	49	high	44.6158918301974
EOG72GBWT	0.245974955277	593.528301887	1118	53	high	47.1031032193421
EOG72GBWX	0.268907563025	566.695652174	833	23	medium	39.1830576918267
EOG72GBX6	0.304276315789	514.594594595	608	37	medium	38.936080646587
EOG72GBXD	0.302120141343	406.3125	566	48	high	39.3644659397111
EOG72GBZC	0.213447171825	614.057692308	937	52	high	39.1533869025474
EOG72GBZH	0.187066974596	233.115384615	433	52	high	50.7054047823809
EOG72K756	0.207818930041	272.066666667	486	15	low	34.8377574015285
EOG72K758	0.303534303534	29.6862745098	481	51	high	47.341525933368
EOG72P3FR	0.314516129032	142.076923077	372	39	medium	37.503525112044
EOG72VTW2	0.184549356223	484.846153846	699	52	high	39.6911283498675
EOG72VTW3	0.194174757282	555.980392157	824	51	high	44.1205003289131
EOG72VTW8	0.292613636364	444.461538462	704	52	high	41.0715051730107
EOG72VTXC	0.189602446483	115.2	327	10	low	34.5318036531294
EOG732KC5	0.27397260274	495.557692308	876	52	high	38.3781708277998
EOG735FMD	0.209908735332	375.245283019	767	53	high	45.9797703230904
EOG7389T9	0.199312714777	581.823529412	1164	17	low	35.1631629544187
EOG7389W0	0.28373015873	102.773584906	504	53	high	37.5612644305789
EOG73C626	0.224431818182	463.921568627	704	51	high	43.6876579460708
EOG73C627	0.256551724138	181.528301887	725	53	high	43.5034180253602
EOG73G29S	0.266475644699	194.388888889	349	18	low	41.7064548332962
EOG73G2BN	0.235416666667	282.473684211	480	38	medium	39.6218183156982
EOG73NSSW	0.324265505985	606.596153846	919	52	high	38.4739511359701
EOG73RP29	0.274350649351	410.628571429	616	35	medium	47.4958047319428
EOG73VJ7X	0.18320610687	589	917	53	high	41.903701624943
EOG73VJ8G	0.249363867684	505.295454545	786	44	high	39.9910685407373
EOG73VJ94	0.256338028169	697.471698113	1065	53	high	40.1800814005867
EOG73ZDH4	0.281407035176	326.326530612	597	49	high	45.7838778248856
EOG73ZDH8	0.279588336192	305.230769231	583	52	high	43.8585936487436
EOG73ZDJG	0.290322580645	271.039215686	465	51	high	40.0543978173266
EOG73ZDJM	0.228813559322	171.788461538	354	52	high	48.2128838029073
EOG7454ZS	0.272300469484	816.75	1065	36	medium	42.1043536664354
EOG745507	0.269607843137	152.823529412	408	51	high	39.2133046506136
EOG74816P	0.19818799547	576.716981132	883	53	high	36.0958348238611
EOG748179	0.287037037037	326.411764706	432	51	high	40.6204936105277
EOG74BWG7	0.287081339713	384.411764706	627	51	high	37.4106934763652
EOG74BWG8	0.223506743738	322.821428571	519	28	medium	37.9532941147791
EOG74FRQ1	0.230529595016	379.632653061	642	49	high	39.0989123118328
EOG74FRQQ	0.267441860465	357.16	602	50	high	41.963200546872
EOG74JMZG	0.231017770598	387.305555556	619	36	medium	49.8164613874944
EOG74NH5G	0.272357723577	698.425531915	984	47	high	36.8578744196466
EOG74RCDN	0.275229357798	309.111111111	654	27	medium	38.8270502610608
EOG74RCGD	0.258893280632	256.134615385	506	52	high	45.1270582476801
EOG74V7P5	0.289215686275	221.869565217	408	46	high	41.2156963888319
EOG74V7Q9	0.23645320197	174.235294118	406	51	high	42.9305078528272
EOG74Z3W1	0.203324808184	656.916666667	782	48	high	44.4045662278791
EOG74Z3WH	0.235294117647	430.102040816	561	49	high	47.0724927296839
EOG74Z3WW	0.336347197107	334.093023256	553	43	high	42.5280639661454
EOG752044	0.323924731183	545.87755102	744	49	high	44.3734864789904
EOG75204R	0.312820512821	295.333333333	585	36	medium	38.5718358854049
EOG754VCT	0.319391634981	13.0769230769	263	52	high	50.384935888817
EOG757QMN	0.319430315361	626	983	52	high	43.5794200716419
EOG75BKV5	0.350958360872	916.113207547	1513	53	high	36.3943891550819
EOG75FG34	0.239185750636	224.192307692	393	52	high	42.5195067143211
EOG75FG45	0.266283524904	198.283018868	522	53	high	42.8991243354218
EOG75R2SV	0.241666666667	538.28125	840	32	medium	38.4449305290718
EOG75TZ1H	0.227441285538	582.188679245	809	53	high	45.3450955647508
EOG75XTB7	0.26288209607	733.925	1145	40	medium	43.8870182504403
EOG764JRP	0.293570219966	739.25	1182	44	high	48.1915104653771
EOG764JS1	0.223564954683	451.583333333	662	24	medium	37.6428060206706
EOG767F09	0.279352226721	323.318181818	494	44	high	36.850804722807
EOG767F12	0.277192982456	156.173076923	570	52	high	39.7281302516058
EOG76B975	0.218137254902	208.578947368	408	38	medium	40.7939349221935
EOG76F5G6	0.29207383279	609.734693878	921	49	high	38.6872055302665
EOG76F5GK	0.329501915709	304.181818182	522	33	medium	41.0603450728812
EOG76F5GW	0.347826086957	376.884615385	667	52	high	37.5249716507088
EOG76J1Q5	0.313953488372	495.423076923	774	26	medium	45.1108688305473
EOG76QS6H	0.286821705426	189.9	516	20	low	34.5054203346448
EOG76TNF4	0.303393213573	355.723404255	501	47	high	41.579287608027
EOG76TNF9	0.191228070175	346.509803922	570	51	high	41.1851567997139
EOG76XHP0	0.181378476421	506.36	827	25	medium	41.9869214020915
EOG76XHPK	0.354761904762	507.326530612	840	49	high	36.4846484544977
EOG771CWR	0.178251121076	636.628571429	892	35	medium	42.2167339783082
EOG771CX3	0.222780569514	410.113636364	597	44	high	37.606455138727
EOG7774D4	0.287758346582	365	629	53	high	43.3173235725329
EOG7774D6	0.233657858136	429.2	719	40	medium	43.8803768207619
EOG7774DK	0.286318758815	426.3	709	50	high	45.1802036157948
EOG7774F6	0.256809338521	280.14	514	50	high	35.785251748669
EOG77MMC2	0.249201277955	370.339622642	626	53	high	39.5760289666799
EOG77MMCC	0.27731092437	874.132075472	1071	53	high	39.7072182757939
EOG77MMCP	0.259259259259	176.596153846	432	52	high	40.0205639130775
EOG77QGKP	0.393048128342	504.607843137	748	51	high	37.9625980177156
EOG77QGKZ	0.254143646409	550.192307692	905	52	high	41.7860780503018
EOG77TBTQ	0.207818930041	281.780487805	486	41	high	37.858705143056
EOG77TBVF	0.221579961464	285.782608696	519	46	high	36.0166415824106
EOG77X736	0.26158445441	248.660377358	669	53	high	36.070333103921
EOG781392	0.25	308.916666667	408	36	medium	43.3123233709091
EOG78139D	0.292288557214	464.833333333	804	18	low	34.7607185454567
EOG78139H	0.286384976526	370.236842105	639	38	medium	39.1458628373695
EOG783ZK3	0.265873015873	318	756	41	high	36.2174560478598
